temp,hours,dates,variation,heures,jours
13.189999999999998,19877.25,03/06/24 06:00:00,,06,03/06/24
12.200000000000044,19877.291666666668,03/06/24 07:00:00,-0.989999999999954,07,03/06/24
12.29000000000002,19877.333333333332,03/06/24 08:00:00,0.08999999999997677,08,03/06/24
12.420000000000016,19877.375,03/06/24 09:00:00,0.12999999999999545,09,03/06/24
14.54000000000002,19877.416666666668,03/06/24 10:00:00,2.1200000000000045,10,03/06/24
16.350000000000023,19877.458333333332,03/06/24 11:00:00,1.8100000000000023,11,03/06/24
19.120000000000005,19877.5,03/06/24 12:00:00,2.769999999999982,12,03/06/24
21.410000000000025,19877.541666666668,03/06/24 13:00:00,2.2900000000000205,13,03/06/24
23.28000000000003,19877.583333333332,03/06/24 14:00:00,1.8700000000000045,14,03/06/24
24.370000000000005,19877.625,03/06/24 15:00:00,1.089999999999975,15,03/06/24
25.510000000000048,19877.666666666668,03/06/24 16:00:00,1.1400000000000432,16,03/06/24
25.640000000000043,19877.708333333332,03/06/24 17:00:00,0.12999999999999545,17,03/06/24
25.860000000000014,19877.75,03/06/24 18:00:00,0.21999999999997044,18,03/06/24
25.879999999999995,19877.791666666668,03/06/24 19:00:00,0.01999999999998181,19,03/06/24
25.29000000000002,19877.833333333332,03/06/24 20:00:00,-0.589999999999975,20,03/06/24
23.79000000000002,19877.875,03/06/24 21:00:00,-1.5,21,03/06/24
22.470000000000027,19877.916666666668,03/06/24 22:00:00,-1.3199999999999932,22,03/06/24
20.629999999999995,19877.958333333332,03/06/24 23:00:00,-1.8400000000000318,23,03/06/24
19.850000000000023,19878.0,04/06/24 00:00:00,-0.7799999999999727,00,04/06/24
18.79000000000002,19878.041666666668,04/06/24 01:00:00,-1.0600000000000023,01,04/06/24
17.090000000000032,19878.083333333332,04/06/24 02:00:00,-1.6999999999999886,02,04/06/24
16.25,19878.125,04/06/24 03:00:00,-0.8400000000000318,03,04/06/24
15.189999999999998,19878.166666666668,04/06/24 04:00:00,-1.0600000000000023,04,04/06/24
14.189999999999998,19878.208333333332,04/06/24 05:00:00,-1.0,05,04/06/24
13.189999999999998,19878.25,04/06/24 06:00:00,-1.0,06,04/06/24
11.970000000000027,19878.291666666668,04/06/24 07:00:00,-1.2199999999999704,07,04/06/24
11.410000000000023,19878.333333333332,04/06/24 08:00:00,-0.560000000000004,08,04/06/24
10.439999999999998,19878.375,04/06/24 09:00:00,-0.9700000000000255,09,04/06/24
11.140000000000043,19878.416666666668,04/06/24 10:00:00,0.7000000000000455,10,04/06/24
12.03000000000003,19878.458333333332,04/06/24 11:00:00,0.8899999999999864,11,04/06/24
12.52000000000004,19878.5,04/06/24 12:00:00,0.49000000000001087,12,04/06/24
13.689999999999998,19878.541666666668,04/06/24 13:00:00,1.1699999999999573,13,04/06/24
16.090000000000032,19878.583333333332,04/06/24 14:00:00,2.400000000000034,14,04/06/24
17.29000000000002,19878.625,04/06/24 15:00:00,1.1999999999999886,15,04/06/24
18.48000000000001,19878.666666666668,04/06/24 16:00:00,1.1899999999999906,16,04/06/24
19.27000000000004,19878.708333333332,04/06/24 17:00:00,0.7900000000000276,17,04/06/24
20.19,19878.75,04/06/24 18:00:00,0.9199999999999626,18,04/06/24
19.890000000000043,19878.791666666668,04/06/24 19:00:00,-0.2999999999999581,19,04/06/24
18.600000000000023,19878.833333333332,04/06/24 20:00:00,-1.2900000000000205,20,04/06/24
17.590000000000032,19878.875,04/06/24 21:00:00,-1.009999999999991,21,04/06/24
15.879999999999995,19878.916666666668,04/06/24 22:00:00,-1.7100000000000364,22,04/06/24
15.110000000000014,19878.958333333332,04/06/24 23:00:00,-0.7699999999999818,23,04/06/24
14.600000000000025,19879.0,05/06/24 00:00:00,-0.5099999999999891,00,05/06/24
13.370000000000005,19879.041666666668,05/06/24 01:00:00,-1.23000000000002,01,05/06/24
12.54000000000002,19879.083333333332,05/06/24 02:00:00,-0.8299999999999841,02,05/06/24
11.980000000000018,19879.125,05/06/24 03:00:00,-0.5600000000000023,03,05/06/24
11.430000000000009,19879.166666666668,05/06/24 04:00:00,-0.5500000000000096,04,05/06/24
10.840000000000032,19879.208333333332,05/06/24 05:00:00,-0.5899999999999768,05,05/06/24
9.860000000000014,19879.25,05/06/24 06:00:00,-0.9800000000000182,06,05/06/24
9.590000000000032,19879.291666666668,05/06/24 07:00:00,-0.2699999999999818,07,05/06/24
8.5,19879.333333333332,05/06/24 08:00:00,-1.0900000000000318,08,05/06/24
8.07000000000005,19879.375,05/06/24 09:00:00,-0.42999999999995,09,05/06/24
8.920000000000016,19879.416666666668,05/06/24 10:00:00,0.8499999999999659,10,05/06/24
9.930000000000009,19879.458333333332,05/06/24 11:00:00,1.0099999999999927,11,05/06/24
11.460000000000036,19879.5,05/06/24 12:00:00,1.5300000000000278,12,05/06/24
11.920000000000016,19879.541666666668,05/06/24 13:00:00,0.45999999999997954,13,05/06/24
13.590000000000032,19879.583333333332,05/06/24 14:00:00,1.670000000000016,14,05/06/24
13.220000000000027,19879.625,05/06/24 15:00:00,-0.37000000000000455,15,05/06/24
13.0,19879.666666666668,05/06/24 16:00:00,-0.22000000000002728,16,05/06/24
13.450000000000044,19879.708333333332,05/06/24 17:00:00,0.4500000000000437,17,05/06/24
11.0,19879.75,05/06/24 18:00:00,-2.4500000000000437,18,05/06/24
9.890000000000043,19879.791666666668,05/06/24 19:00:00,-1.1099999999999568,19,05/06/24
11.04000000000002,19879.833333333332,05/06/24 20:00:00,1.1499999999999773,20,05/06/24
10.82000000000005,19879.875,05/06/24 21:00:00,-0.21999999999997044,21,05/06/24
9.970000000000027,19879.916666666668,05/06/24 22:00:00,-0.8500000000000227,22,05/06/24
9.379999999999995,19879.958333333332,05/06/24 23:00:00,-0.5900000000000318,23,05/06/24
8.350000000000023,19880.0,06/06/24 00:00:00,-1.0299999999999727,00,06/06/24
7.689999999999998,19880.041666666668,06/06/24 01:00:00,-0.660000000000025,01,06/06/24
7.560000000000002,19880.083333333332,06/06/24 02:00:00,-0.12999999999999545,02,06/06/24
6.939999999999998,19880.125,06/06/24 03:00:00,-0.6200000000000045,03,06/06/24
6.930000000000007,19880.166666666668,06/06/24 04:00:00,-0.009999999999990905,04,06/06/24
6.78000000000003,19880.208333333332,06/06/24 05:00:00,-0.14999999999997726,05,06/06/24
6.860000000000014,19880.25,06/06/24 06:00:00,0.07999999999998408,06,06/06/24
6.7000000000000455,19880.291666666668,06/06/24 07:00:00,-0.15999999999996817,07,06/06/24
7.090000000000032,19880.333333333332,06/06/24 08:00:00,0.38999999999998636,08,06/06/24
7.150000000000034,19880.375,06/06/24 09:00:00,0.060000000000002274,09,06/06/24
8.090000000000032,19880.416666666668,06/06/24 10:00:00,0.9399999999999977,10,06/06/24
8.689999999999998,19880.458333333332,06/06/24 11:00:00,0.5999999999999659,11,06/06/24
10.04000000000002,19880.5,06/06/24 12:00:00,1.3500000000000227,12,06/06/24
10.360000000000014,19880.541666666668,06/06/24 13:00:00,0.3199999999999932,13,06/06/24
10.129999999999995,19880.583333333332,06/06/24 14:00:00,-0.2300000000000182,14,06/06/24
11.840000000000032,19880.625,06/06/24 15:00:00,1.7100000000000364,15,06/06/24
11.75,19880.666666666668,06/06/24 16:00:00,-0.09000000000003183,16,06/06/24
12.760000000000048,19880.708333333332,06/06/24 17:00:00,1.0100000000000477,17,06/06/24
13.210000000000036,19880.75,06/06/24 18:00:00,0.44999999999998863,18,06/06/24
12.930000000000009,19880.791666666668,06/06/24 19:00:00,-0.2800000000000278,19,06/06/24
11.83000000000004,19880.833333333332,06/06/24 20:00:00,-1.0999999999999694,20,06/06/24
11.420000000000016,19880.875,06/06/24 21:00:00,-0.41000000000002323,21,06/06/24
10.210000000000036,19880.916666666668,06/06/24 22:00:00,-1.2099999999999795,22,06/06/24
9.25,19880.958333333332,06/06/24 23:00:00,-0.9600000000000364,23,06/06/24
8.620000000000005,19881.0,07/06/24 00:00:00,-0.6299999999999955,00,07/06/24
8.020000000000039,19881.041666666668,07/06/24 01:00:00,-0.5999999999999659,01,07/06/24
7.650000000000034,19881.083333333332,07/06/24 02:00:00,-0.37000000000000455,02,07/06/24
6.890000000000043,19881.125,07/06/24 03:00:00,-0.7599999999999909,03,07/06/24
6.390000000000043,19881.166666666668,07/06/24 04:00:00,-0.5,04,07/06/24
6.310000000000002,19881.208333333332,07/06/24 05:00:00,-0.08000000000004093,05,07/06/24
5.390000000000043,19881.25,07/06/24 06:00:00,-0.9199999999999591,06,07/06/24
4.840000000000032,19881.291666666668,07/06/24 07:00:00,-0.5500000000000114,07,07/06/24
5.180000000000007,19881.333333333332,07/06/24 08:00:00,0.339999999999975,08,07/06/24
5.960000000000036,19881.375,07/06/24 09:00:00,0.7800000000000296,09,07/06/24
6.600000000000023,19881.416666666668,07/06/24 10:00:00,0.6399999999999864,10,07/06/24
7.950000000000045,19881.458333333332,07/06/24 11:00:00,1.3500000000000218,11,07/06/24
9.400000000000034,19881.5,07/06/24 12:00:00,1.4499999999999895,12,07/06/24
11.060000000000002,19881.541666666668,07/06/24 13:00:00,1.6599999999999682,13,07/06/24
12.110000000000014,19881.583333333332,07/06/24 14:00:00,1.0500000000000114,14,07/06/24
10.260000000000048,19881.625,07/06/24 15:00:00,-1.849999999999966,15,07/06/24
11.240000000000007,19881.666666666668,07/06/24 16:00:00,0.9799999999999596,16,07/06/24
9.350000000000025,19881.708333333332,07/06/24 17:00:00,-1.8899999999999828,17,07/06/24
8.78000000000003,19881.75,07/06/24 18:00:00,-0.569999999999995,18,07/06/24
9.25,19881.791666666668,07/06/24 19:00:00,0.46999999999997044,19,07/06/24
9.350000000000025,19881.833333333332,07/06/24 20:00:00,0.10000000000002451,20,07/06/24
9.04000000000002,19881.875,07/06/24 21:00:00,-0.31000000000000405,21,07/06/24
8.260000000000048,19881.916666666668,07/06/24 22:00:00,-0.7799999999999727,22,07/06/24
6.960000000000036,19881.958333333332,07/06/24 23:00:00,-1.3000000000000114,23,07/06/24
6.25,19882.0,08/06/24 00:00:00,-0.7100000000000364,00,08/06/24
5.650000000000034,19882.041666666668,08/06/24 01:00:00,-0.5999999999999659,01,08/06/24
5.310000000000002,19882.083333333332,08/06/24 02:00:00,-0.34000000000003183,02,08/06/24
4.900000000000034,19882.125,08/06/24 03:00:00,-0.40999999999996817,03,08/06/24
4.010000000000048,19882.166666666668,08/06/24 04:00:00,-0.8899999999999864,04,08/06/24
